,Title,year,location,Latitude,Longitude
290,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
291,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
292,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
293,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
294,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
295,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
296,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
297,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
298,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
299,0511 TV Lokal,2007,"Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3744779,9.7385532
300,07 zglos sie,1976,"Warszawa, województwo mazowieckie, 00-901, Polska",52.2319581,21.0067249
301,07 zglos sie,2004,,,
302,07 zglos sie,2004,"Sopot, województwo pomorskie, Polska",54.44190905,18.54309444570447
303,0800 no llames,2005,,,
